text,label
"""

 A pussy for you! 

i bet u wont get none u stupid ass virgin

  
""",1.0
I think it is 1861.  James Clerk Maxwell used a color separation method to take three b/w photos through red green and blue filters.  Examples of photos using this technique by Prokudin-Gorskii can be seen at  http://www.loc.gov/exhibits/empire/,0.0
"Merge with The Logrus and The Pattern 

Neither The Logrus nor The Pattern is sufficiently independently notable to justify its own article. As such, these two articles should be merged here.",0.0
"Wikipedia:Requests for comment/Philosophy
*Talk:Aesthetic Realism. Should the article be permitted to include historical information that current teachers of the philosophy seek to deemphasize?",0.0
"""

 Please do not vandalize pages, as you did with this edit to Never Bet the Devil Your Head. If you continue to do so, you will be blocked from editing.  Martin451 (talk) """,0.0
JERK ASS!!! WHY DID YOU DELETE MY HELPFUL INFORMATION?,1.0
"""
And e-mail . Relish the e/c, my friend. — (T•C) """,0.0
"MY REPLY
You must be kidding, I didn't edit a single thing, the only thing I did was compare edits made by other users, not mine",0.0
"hey
you know what fuck this, it takes to goddam long to do a good artical. fuck all of this im done with this wikipedia bullshit
fuck whoever created wikipedia im sorry for saying that that was my bad",1.0
"As a rollbacker, that is particularly problematic.  You should be aware that editors who edit war may lose the privilege regardless of the means used to edit war.",0.0
"YAMLA,  are you stupid and a gay ass fag whos mother was a fucking whore you fuking idiotical mongolical son of a bitch you are so fucking faaaaaaagggggggggggggyyyyyyyyyyyyyy that oyuy suck as much cock as your dad who was the biggest gay ass idiot in history who ever sucked cock and oyu also stuck up a dildo up your mothers ass while she was pooing and you made your sister eat that shit!!!!",1.0
Then I guess we'll peel this onion again. I always enjoy a good spanking.  This morning I shot an elephant in my underpants. How he got in there I'll never know. -,1.0
(Note by brab) I've uploaded it on ImageShack,0.0
"Tell Dark to stop fucking with moot and /b/.

He has no fucking idea what he's messing with.",1.0
"BLOOD will be on your hands too! 

BLOOD will be on your hands too!",1.0
"How about leaving the dishonourable epithet up? If not, I can always bombard the article with multiple sockpuppets. Should keep it interesting, n'est pas. Goddamn traitors.24.224.214.165",1.0
"camp lazlo do you like it or not?-
I don't like camp lazlo, it bores me and lazlo is an idiot.",1.0
